congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.377,0.384,-134.22697,0.82437,695,66,,0.445,0.292
118,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.398,0.4,-30.51307,0.95393,647,12,,-0.516,0.41
118,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.679,0.102,-57.32691,0.92039,691,30,,0.692,0.14
118,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958,,0.548,0.275,-82.53912,0.88847,698,38,,0.599,0.257
118,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966,,0.645,-0.171,-56.33097,0.92247,698,20,,0.74,-0.169
118,House,22366,41,5,AL,200,,,"STRONG, Dale",S001220,1970,,0.62,0.338,-79.03972,0.89206,692,32,,0.62,0.337
118,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.403,0.479,-134.39949,0.82114,682,71,,0.457,0.18
118,House,22168,81,1,AK,100,,,"PELTOLA, Mary Sattler",P000619,1973,,-0.16,0.407,-119.99277,0.79671,528,61,,-0.098,0.067
118,House,21995,93,0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.336,0.208,-46.52526,0.75558,166,21,,0.323,0.18
118,House,20305,61,7,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-34.93078,0.95021,684,15,,-0.573,-0.39
118,House,21103,61,9,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.699,-0.499,-47.8247,0.93304,690,16,,0.754,-0.657
118,House,21105,61,1,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.561,-0.251,-182.10993,0.76949,695,60,,0.487,-0.177
118,House,21502,61,3,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.418,0.069,-56.45679,0.90933,594,22,,-0.298,0.192
118,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.827,-0.562,-81.75606,0.88902,695,36,,0.703,-0.711
118,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.614,-0.077,-65.46532,0.90055,625,29,,0.633,-0.012
118,House,21968,61,4,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.284,0.247,-49.15772,0.93218,700,21,,-0.299,0.444
118,House,22309,61,6,AZ,200,,,"CISCOMANI, Juan",C001133,1982,,0.302,0.788,-41.03363,0.94226,690,20,,0.302,0.788
118,House,22311,61,2,AZ,200,,,"CRANE, Eli",C001132,1980,,0.72,-0.694,-66.01405,0.90876,690,30,,0.719,-0.695
118,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.457,0.32,-106.72643,0.85708,692,40,,0.439,0.072
118,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.621,-54.73094,0.92479,700,20,,0.361,0.866
118,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.437,0.27,-106.72562,0.85765,695,45,,0.446,0.296
118,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.55,0.305,-69.34264,0.9053,697,35,,0.534,0.185
118,House,15448,71,11,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.197,-19.31723,0.96947,623,7,,-0.596,0.226
118,House,20104,71,30,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.35,-0.133,-21.07261,0.96975,686,7,,-0.369,-0.096
118,House,20107,71,48,CA,200,,,"ISSA, Darrell",I000056,1953,,0.484,-0.001,-100.20012,0.86447,688,42,,0.467,0.119
118,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.135,-25.21951,0.96401,688,12,,-0.58,-0.042
118,House,20501,71,21,CA,100,,,"COSTA, Jim",C001059,1952,,-0.196,0.458,-87.89567,0.87513,659,39,,-0.315,0.69
118,House,20538,71,7,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.435,-0.146,-18.92316,0.97302,692,6,,-0.508,0.134
118,House,20703,71,20,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.453,0.233,-71.46574,0.82262,366,36,,0.381,0.07
118,House,20903,71,5,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.682,-0.401,-126.45631,0.83408,697,46,,0.556,-0.395
118,House,20955,71,28,CA,100,,,"CHU, Judy",C001080,1953,,-0.489,-0.379,-18.56004,0.97327,685,7,,-0.493,-0.425
118,House,20958,71,8,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.309,-0.096,-49.37704,0.93075,688,17,,-0.317,-0.065
118,House,21302,71,1,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.538,0.026,-86.97656,0.87977,679,36,,0.582,0.014
118,House,21303,71,2,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.428,-0.527,-46.84443,0.93324,678,20,,-0.407,-0.492
